id,Y
49999,0.16949929
50000,0.02294702
50001,0.02258066
50002,0.01209739
50003,0.06360623
50004,0.06968504
50005,0.16930398
50006,0.05074248
50007,0.05006409
50008,0.13846324
50009,0.04228154
50010,0.05372412
50011,0.04485402
50012,0.04373878
50013,0.02344184
50014,0.01747668
50015,0.01186048
50016,0.19035099
50017,0.01853778
50018,0.04993422
50019,0.07030001
50020,0.09782808
50021,0.04448600
50022,0.04127825
50023,0.09334105
50024,0.03002409
50025,0.04713082
50026,0.04163985
50027,0.01133120
50028,0.03757776
50029,0.13674766
50030,0.10596599
50031,0.05128818
50032,0.04915074
50033,0.01581158
50034,0.04269424
50035,0.05205435
50036,0.02538052
50037,0.21032275
50038,0.04119802
50039,0.05291341
50040,0.03714009
50041,0.01899180
50042,0.07127260
50043,0.04920707
50044,0.05327591
50045,0.02337847
50046,0.01263414
50047,0.27299100
50048,0.04965362
50049,0.02526955
50050,0.04421388
50051,0.07644826
50052,0.06076533
50053,0.11249977
50054,0.06432950
50055,0.04662361
50056,0.02429418
50057,0.04173168
50058,0.05100442
50059,0.01991281
50060,0.02479982
50061,0.04087197
50062,0.02293517
50063,0.02724535
50064,0.04084376
50065,0.41404223
50066,0.05297697
50067,0.13032033
50068,0.03681339
50069,0.05023758
50070,0.05723937
50071,0.03724217
50072,0.05935470
50073,0.02792886
50074,0.04053187
50075,0.01598583
50076,0.01983713
50077,0.03894873
50078,0.01586246
50079,0.04556757
50080,0.04697916
50081,0.45786712
50082,0.21386974
50083,0.06057097
50084,0.05231726
50085,0.05163156
50086,0.01692234
50087,0.05354600
50088,0.33355516
50089,0.02006120
50090,0.23960105
50091,0.57579470
50092,0.07361390
50093,0.04106737
50094,0.03492625
50095,0.04461861
50096,0.01209221
50097,0.03346676
50098,0.01391583
50099,0.04301556
50100,0.15240866
50101,0.14753437
50102,0.04819574
50103,0.04726800
50104,0.08315407
50105,0.06555240
50106,0.12949567
50107,0.05245747
50108,0.37628910
50109,0.04374055
50110,0.05357569
50111,0.16098808
50112,0.05756373
50113,0.04989185
50114,0.02601285
50115,0.04752692
50116,0.06557162
50117,0.01819428
50118,0.04366667
50119,0.04129122
50120,0.03766036
50121,0.04888184
50122,0.04244641
